"timestamp","categoria","accion","detalles","resultados","duracion_ns","nota"
"2025-12-08 22:46:37","SEARCH","findAll por apellido","apellido=TORRES",7,922300,""
"2025-12-09 00:05:46","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:05:53","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-09 00:19:27","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\citas_100.csv",100,0,""
"2025-12-09 00:19:27","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\citas_100.csv",100,0,""
"2025-12-09 00:20:03","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:20:03","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:28:14","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:28:58","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:34:12","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:34:31","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:36:44","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-09 00:37:31","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:37:31","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:40:07","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:40:55","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:41:20","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:43:03","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:32:36","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:33:34","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:35:28","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:35:42","SEARCH","findAll por apellido","apellido=VARGAS",4,1569400,""
"2025-12-17 00:10:17","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 00:11:10","SEARCH","findAll por id","id=CITA-010",1,1553500,""
"2025-12-17 00:38:24","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 01:52:32","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 01:53:04","SEARCH","Centinela por ID","id=CITA-011",1,972100,""
"2025-12-17 01:56:46","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 01:57:02","SEARCH","findAll por apellido","apellido=VARGAS",4,811000,""
"2025-12-17 01:59:07","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 01:59:13","SEARCH","findAll por apellido","apellido=VARGAS",4,778800,""
"2025-12-17 02:01:48","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:01:55","SEARCH","findAll por apellido","apellido=VARGAS",4,728900,""
"2025-12-17 02:03:15","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:03:21","SEARCH","findAll por apellido","apellido=VARGAS",4,694200,""
"2025-12-17 02:04:05","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:04:12","SEARCH","findAll por apellido","apellido=VARGAS",4,828900,""
"2025-12-17 02:04:31","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:04:37","SEARCH","findAll por apellido","apellido=VARGAS",4,703900,""
"2025-12-17 02:05:13","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:05:18","SEARCH","findAll por apellido","apellido=VARGAS",4,728000,""
"2025-12-17 02:07:09","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
